document_id,segment_id,relation_id,subject,predicate,object,basis,certainty,note,source_url
co-ahrb-cab-001-d0038,cab-001-038_s001,cab-001-038_cab-001-038_s001_r001,Cabildo,associatedWithPlace,Tunja,inferred,high,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038_s002,cab-001-038_cab-001-038_s002_r001,cab-001-038_s002,invokesConcept,jurisdicción,explicit,high,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038_s002,cab-001-038_cab-001-038_s002_r002,cab-001-038_s002,containsLegalAct,collection,explicit,high,Expresión: cobrar,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038_s002,cab-001-038_cab-001-038_s002_r003,cab-001-038_s002,containsLegalAct,fine,explicit,high,Expresión: multas,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038_s003,cab-001-038_cab-001-038_s003_r001,Justicia y Regimiento,grantsPowerTo,Juan de Montalvo,inferred,medium,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038_s003,cab-001-038_cab-001-038_s003_r002,cab-001-038_s003,containsLegalAct,grant_of_power,explicit,high,Expresión: poder,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038_s004,cab-001-038_cab-001-038_s004_r001,orden,isMentionedIn,cab-001-038_s004,explicit,high,Fuente normativa identificada en el segmento.,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038_s004,cab-001-038_cab-001-038_s004_r002,Miguel Diaz de Armendaris,holdsOrPerformsRole,Gobernador,explicit,medium,Proximidad textual entre nombre y oficio/rol; requiere revisión histórica si la sintaxis es ambigua.,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038_s004,cab-001-038_cab-001-038_s004_r003,Gómez de Cifuentes,holdsOrPerformsRole,Alcalde,explicit,medium,Proximidad textual entre nombre y oficio/rol; requiere revisión histórica si la sintaxis es ambigua.,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038_s004,cab-001-038_cab-001-038_s004_r004,Juan de Chinchilla,presentsOrRequests,Petition,explicit,high,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038_s004,cab-001-038_cab-001-038_s004_r005,Cabildo/autoridad reunida,readsOrReceives,orden,inferred,medium,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038_s004,cab-001-038_cab-001-038_s004_r006,cab-001-038_s004,containsLegalAct,reading,explicit,high,Expresión: leyó,https://zasqua.org/co-ahrb-cab-001-d038/
