document_id,local_id,segment_id,annotation_id,surface,normalized,category,subtype,tei_element,evidence_status,certainty,start,end,note,source_url
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s001,cab-001-038_cab-001-038_s001_a001,Tunja,Tunja,place,historical_place,placeName,explicit,high,16,21,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s001,cab-001-038_cab-001-038_s001_a002,Nuevo Reino de Granada,Nuevo Reino de Granada,place,historical_place,placeName,explicit,high,26,48,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s001,cab-001-038_cab-001-038_s001_a003,Cabildo,Cabildo,institution,cabildo,orgName,explicit,high,80,87,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s001,cab-001-038_cab-001-038_s001_a004,17 de Mayo de 1549,17 de Mayo de 1549,date,calendar_date,date,explicit,high,96,114,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s002,cab-001-038_cab-001-038_s002_a001,jurisdicción,jurisdicción,historical_concept,jurisdiction,term,explicit,high,97,109,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s002,cab-001-038_cab-001-038_s002_a002,cobrar,cobrar,legal_or_procedural_act,collection,rs,explicit,high,133,139,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s002,cab-001-038_cab-001-038_s002_a003,multas,multas,legal_or_procedural_act,fine,rs,explicit,high,140,146,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s002,cab-001-038_cab-001-038_s002_a004,24 mayo 1549,24 mayo 1549,date,calendar_date,date,explicit,high,148,160,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s003,cab-001-038_cab-001-038_s003_a001,Juan de Montalvo,Juan de Montalvo,person,historical_person,persName,explicit,high,4,20,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s003,cab-001-038_cab-001-038_s003_a002,Justicia y Regimiento,Justicia y Regimiento,institutional_body,cabildo_body,orgName,explicit,high,44,65,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s003,cab-001-038_cab-001-038_s003_a003,poder,poder,legal_or_procedural_act,grant_of_power,rs,explicit,high,69,74,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s003,cab-001-038_cab-001-038_s003_a004,contador,contador,role_or_office,office_or_procedural_role,rs,explicit,high,99,107,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s003,cab-001-038_cab-001-038_s003_a005,Velez,Velez,place,historical_place,placeName,explicit,high,174,179,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s004,cab-001-038_cab-001-038_s004_a001,Cabildo,Cabildo,institution,cabildo,orgName,explicit,high,8,15,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s004,cab-001-038_cab-001-038_s004_a002,leyó,leyó,legal_or_procedural_act,reading,rs,explicit,high,19,23,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s004,cab-001-038_cab-001-038_s004_a003,petición,petición,legal_or_procedural_act,petition,rs,explicit,high,28,36,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s004,cab-001-038_cab-001-038_s004_a004,Juan de Chinchilla,Juan de Chinchilla,person,historical_person,persName,explicit,high,44,62,,https://zasqua.org/co-ahrb-cab-001-d038/
co-ahrb-cab-001-d0038,cab-001-038,cab-001-038_s004,cab-001-038_cab-001-038_s004_a005,adjudique,adjudique,legal_or_procedural_act,land_grant,rs,explicit,high,80,89,,https://zasqua.org/co-ahrb-cab-001-d038/
