document_id,local_id,segment_id,annotation_id,surface,normalized,category,subtype,tei_element,evidence_status,certainty,start,end,note,source_url
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s001,cab-001-012_cab-001-012_s001_a001,Cabildo,Cabildo,institution,cabildo,orgName,explicit,high,0,7,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s001,cab-001-012_cab-001-012_s001_a002,6 de Junio 1549,6 de Junio 1549,date,calendar_date,date,explicit,high,12,27,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s001,cab-001-012_cab-001-012_s001_a003,Justicia y Regimiento,Justicia y Regimiento,institutional_body,cabildo_body,orgName,explicit,high,63,84,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s001,cab-001-012_cab-001-012_s001_a004,Real Servicio,Real Servicio,historical_concept,real_service,term,explicit,high,113,126,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s002,cab-001-012_cab-001-012_s002_a001,petición,petición,legal_or_procedural_act,petition,rs,explicit,high,43,51,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s002,cab-001-012_cab-001-012_s002_a002,Francisco Martinez,Francisco Martinez,person,historical_person,persName,explicit,high,67,85,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s002,cab-001-012_cab-001-012_s002_a003,adjudicación,adjudicación,legal_or_procedural_act,land_grant,rs,explicit,high,105,117,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s002,cab-001-012_cab-001-012_s002_a004,Sipatá,Sipatá,place,historical_place,placeName,explicit,high,144,150,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s002,cab-001-012_cab-001-012_s002_a005,acordó,acordó,legal_or_procedural_act,decision,rs,explicit,high,154,160,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s002,cab-001-012_cab-001-012_s002_a006,petición,petición,legal_or_procedural_act,petition,rs,explicit,high,171,179,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s002,cab-001-012_cab-001-012_s002_a007,vecinos,vecinos,historical_social_legal_category,status_category,term,explicit,high,223,230,Categoría histórica del texto; no equivale automáticamente a una clase contemporánea de persona.,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s002,cab-001-012_cab-001-012_s002_a008,Tunja,Tunja,place,historical_place,placeName,explicit,high,234,239,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s003,cab-001-012_cab-001-012_s003_a001,acordó,acordó,legal_or_procedural_act,decision,rs,explicit,high,11,17,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s003,cab-001-012_cab-001-012_s003_a002,vecinos,vecinos,historical_social_legal_category,status_category,term,explicit,high,31,38,Categoría histórica del texto; no equivale automáticamente a una clase contemporánea de persona.,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s003,cab-001-012_cab-001-012_s003_a003,pena,pena,legal_or_procedural_act,penalty,rs,explicit,high,99,103,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s003,cab-001-012_cab-001-012_s003_a004,ordenó,ordenó,legal_or_procedural_act,order_event,rs,explicit,high,121,127,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s003,cab-001-012_cab-001-012_s003_a005,pregonar,pregonar,legal_or_procedural_act,proclamation,rs,explicit,high,128,136,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s003,cab-001-012_cab-001-012_s003_a006,orden,orden,normative_source,order,rs,explicit,high,140,145,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s004,cab-001-012_cab-001-012_s004_a001,cabildo,cabildo,institution,cabildo,orgName,explicit,high,6,13,,https://zasqua.org/co-ahrb-cab-001-d0012/
co-ahrb-cab-001-d0012,cab-001-012,cab-001-012_s004,cab-001-012_cab-001-012_s004_a002,aprobaron,aprobaron,legal_or_procedural_act,approval,rs,explicit,high,15,24,,https://zasqua.org/co-ahrb-cab-001-d0012/
