document,report_file,conforms,severity,focus_node,source_shape,constraint,result_path,value,message
cab-001-002,build/shacl_reports_quality/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a001,_:naf187e36a1954bf0befbbe1b19f8e9a3b11,sh:MinCountConstraintComponent,leco:decidedBy,,No se ha identificado quién decidió esta decisión jurídica.
cab-001-002,build/shacl_reports_quality/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a003,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a003,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.
cab-001-002,build/shacl_reports_quality/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a003,_:naf187e36a1954bf0befbbe1b19f8e9a3b6,sh:MinCountConstraintComponent,leco:withinJurisdiction,,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural."
cab-001-002,build/shacl_reports_quality/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a003,_:naf187e36a1954bf0befbbe1b19f8e9a3b11,sh:MinCountConstraintComponent,leco:decidedBy,,No se ha identificado quién decidió esta decisión jurídica.
cab-001-002,build/shacl_reports_quality/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a002,_:naf187e36a1954bf0befbbe1b19f8e9a3b16,sh:MinCountConstraintComponent,leco:investigates,,"No se ha identificado el objeto, actor o conducta investigada."
cab-001-002,build/shacl_reports_quality/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s003_a002,_:naf187e36a1954bf0befbbe1b19f8e9a3b11,sh:MinCountConstraintComponent,leco:decidedBy,,No se ha identificado quién decidió esta decisión jurídica.
cab-001-002,build/shacl_reports_quality/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a003,https://w3id.org/leco/shapes/quality#JurisdictionalActParticipantQualityShape,sh:OrConstraintComponent,,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a003,No se ha identificado ningún participante del acto. Mantener como incompletitud si la fuente no permite establecerlo.
cab-001-002,build/shacl_reports_quality/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s003_a002,_:naf187e36a1954bf0befbbe1b19f8e9a3b6,sh:MinCountConstraintComponent,leco:withinJurisdiction,,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural."
cab-001-002,build/shacl_reports_quality/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s004_a006,_:naf187e36a1954bf0befbbe1b19f8e9a3b3,sh:MinCountConstraintComponent,leco:appointsToOffice,,No se ha identificado el oficio al que se realiza el nombramiento.
cab-001-002,build/shacl_reports_quality/cab-001-002.ttl,True,Warning,https://w3id.org/leco/data/co-ahrb-cab-001-d002/event_cab-001-002_cab-001-002_s005_a002,_:naf187e36a1954bf0befbbe1b19f8e9a3b6,sh:MinCountConstraintComponent,leco:withinJurisdiction,,"No se ha identificado una jurisdicción para este acto. Es una laguna de completitud, no un error estructural."
