document_id,segment_id,relation_id,subject,predicate,object,basis,certainty,note,source_url
co-ahrb-cab-001-d003,cab-001-003_s002,cab-001-003_cab-001-003_s002_r001,Garcia Maldonado,holdsOrPerformsRole,Alcaldes Ordinarios,explicit,medium,Proximidad textual entre nombre y oficio/rol; requiere revisión histórica si la sintaxis es ambigua.,https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s002,cab-001-003_cab-001-003_s002_r002,Pedro Vazquez,holdsOrPerformsRole,Alcaldes Ordinarios,explicit,medium,Proximidad textual entre nombre y oficio/rol; requiere revisión histórica si la sintaxis es ambigua.,https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s003,cab-001-003_cab-001-003_s003_r001,Juan de Horosco,holdsOrPerformsRole,Regidores,explicit,medium,Proximidad textual entre nombre y oficio/rol; requiere revisión histórica si la sintaxis es ambigua.,https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s003,cab-001-003_cab-001-003_s003_r002,Miguel de Trujillo,holdsOrPerformsRole,Regidores,explicit,medium,Proximidad textual entre nombre y oficio/rol; requiere revisión histórica si la sintaxis es ambigua.,https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s003,cab-001-003_cab-001-003_s003_r003,Hernando de Rojas,holdsOrPerformsRole,Regidores,explicit,medium,Proximidad textual entre nombre y oficio/rol; requiere revisión histórica si la sintaxis es ambigua.,https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s003,cab-001-003_cab-001-003_s003_r004,cab-001-003_s003,invokesConcept,real servicio,explicit,high,,https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s004,cab-001-003_cab-001-003_s004_r001,carta,isMentionedIn,cab-001-003_s004,explicit,high,Fuente normativa identificada en el segmento.,https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s004,cab-001-003_cab-001-003_s004_r002,carta,concernsCategory,indios,explicit,medium,"Coocurrencia normativa; relación temática, no atribución de identidad.",https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s004,cab-001-003_cab-001-003_s004_r003,cab-001-003_s004,containsLegalAct,repartimiento,explicit,high,Expresión: repartimientos,https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s005,cab-001-003_cab-001-003_s005_r001,Hernan Suárez,performsAct,Appeal,inferred,medium,La relación se deriva de la construcción verbal de apelación; validar sujeto gramatical.,https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s005,cab-001-003_cab-001-003_s005_r002,cab-001-003_s005,containsLegalAct,decision,explicit,high,Expresión: acordó,https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s005,cab-001-003_cab-001-003_s005_r003,cab-001-003_s005,containsLegalAct,repartimiento,explicit,high,Expresión: repartimientos,https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s005,cab-001-003_cab-001-003_s005_r004,cab-001-003_s005,containsLegalAct,appeal,explicit,high,Expresión: apelación,https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s006,cab-001-003_cab-001-003_s006_r001,carta,isMentionedIn,cab-001-003_s006,explicit,high,Fuente normativa identificada en el segmento.,https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s007,cab-001-003_cab-001-003_s007_r001,Cabildo/autoridad competente,ordersOrPerforms,Proclamation,inferred,medium,,https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s007,cab-001-003_cab-001-003_s007_r002,cab-001-003_s007,containsLegalAct,order_event,explicit,high,Expresión: ordenó,https://zasqua.org/co-ahrb-cab-001-d003/
co-ahrb-cab-001-d003,cab-001-003_s007,cab-001-003_cab-001-003_s007_r003,cab-001-003_s007,containsLegalAct,proclamation,explicit,high,Expresión: pregonar,https://zasqua.org/co-ahrb-cab-001-d003/
